,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Equatorial Guinea,5.177541864096265,-3.6701273276299435,-0.5735118720214961,0.46496305828491574,0.3381122663624623,0.3940323852309041,1.1128287623182616,-0.6871710850659326,0.28291822605014993,0.685358278328238,-0.6013864343236623,0.2545663398439407,-0.5359667710595762,-0.728598381916367,-0.17921333536986364,0.0457562917005325,-0.23502519590623963
Eritrea,1.9904364034672621,1.7241397843336612,0.6825116912956952,0.3464742893508397,-1.3172714143870226,-1.229702543706071,0.24008961048063493,0.6419854281792365,-0.8791406099855222,0.13464664693641287,0.1771835891798088,-0.09510799924326123,0.7262073431238305,-0.07836284612552023,-0.04716791716450744,-0.0051049351309422645,-0.06641488004799559
Estonia,-3.315924783179678,-1.2555706539593252,0.27278042717972495,1.4920096081557472,-0.26429684095653044,-1.1767580465086853,-0.11836167040387556,-1.2510721862463656,0.4918489501818599,-0.2138081053764815,0.13607141218391539,0.163779936275241,0.20816655016010616,-0.035502636809474665,0.03378511546172021,-0.05265350963400064,-0.046649424799321874
Eswatini,3.294499874510364,-0.5081826335427809,6.422422717101695,3.5584207739940825,1.6875057198615926,1.9169292441576873,1.6072964845602908,0.3770751635594793,-0.3190609116360779,-0.8631507372701174,-1.3558776056171462,0.26647809745290485,-0.673580335200393,0.02332255418190549,0.06437947455889485,-0.17961295514010336,-0.08100783766287735
Ethiopia,4.881916249616356,-0.9965654302841143,-1.4080526719510842,-0.3632371060883277,-0.32493387435775206,-0.5249144597409773,0.3878483321334752,0.3722281141764709,-0.9713292231899967,-0.004329420250946499,-0.408974910091155,0.41328140285386733,0.5120025855262498,-0.46295138965355365,0.13671724665485066,0.22316038063363092,-0.06187555210596387
Fiji,-1.1991334297396237,1.1174026302849094,1.0827840713479266,-0.8255139515526835,0.26497451349826584,-0.10934023246771572,0.2623896860360701,0.041046673755876166,0.2980371909932353,0.01737755703982511,0.8452742033079703,0.01686839589382636,0.3060689870536031,-0.02724066789727437,0.12695008195853869,-0.12126830641780757,-0.10576619032904243
Finland,-3.9095852547707555,-1.198708839548941,-0.468333490566661,1.0282875010822046,-0.686640540269955,0.09084086296156794,0.07140836592463853,0.4079861503419422,-0.13247330035262012,-0.1473343033018304,0.08414927790996542,-0.10314355161624622,0.049372887082611165,0.04902802877362043,-0.001722460373709591,0.015126758114154613,0.014896855388480746
France,-3.0115734075402294,-2.330644495423811,-1.660388790586118,1.3148771355435407,0.023250991871647503,0.27794333929899684,-0.8049636814202374,-0.5886590816759305,-1.3625854064760492,-0.10583506594998528,-0.41582880646895704,-1.746404045895889,-0.25279466907772735,0.14325599895424793,0.12692103468201923,0.07629469479677327,0.034781951827135005
Gabon,2.558024810729446,-1.573061537403508,-0.1135535945373549,0.3214142946909664,0.27980208338608026,0.310644839562891,0.14716765492510275,-1.0492603948740291,0.5368274677846969,0.6663350645082416,-0.3043562283657372,0.6393480905968967,0.20616733514371685,0.0726744511712707,0.1269569319354978,-0.06493669355189968,-0.08476277648694229
"Gambia, The",2.1822736191254815,1.3009441152275019,1.0220029099292511,0.20886558665597246,-0.8017828569713028,-0.5880261444626823,-0.9753549288435833,0.5981992515028448,0.23798817603104247,-0.1416862934790828,-0.2872189600129524,-0.4151627299410599,0.1980121696389796,-0.07674561931092859,0.12859817788622482,-0.16417635570167766,0.018972918797532833
Georgia,-1.047866940687348,-0.42871589077285455,0.03775320310285217,-0.8313531177064296,0.8057594667686437,0.2106147874179235,-0.04346020951909778,-1.0211185250660053,-0.32510665815571144,0.45466202108337195,0.8055542442839874,-0.048596816959453136,-0.22111401662872876,0.1571428848919059,0.1214986251559617,-0.004868186883179026,0.005173982621961261
Germany,-3.9441514675885885,-1.3885556421539411,-0.756407225208503,1.3726642168280845,-0.04498241673453345,-0.13266671356104015,-0.022139498362794864,-0.06135799846988351,0.12860542091092628,0.006224163462289398,0.2905783840654004,0.10300048216396795,-0.2048049887760121,-0.0037534474730735604,0.0295964717581555,-0.0033719608774568648,0.007519787465814066
Ghana,2.162147048193386,0.8583556355340124,0.4469952952677672,0.07508623772337449,-0.3165417886319591,0.06929384033149694,-0.9644766829698234,0.2294049850032309,-0.055989469864104226,0.02197908483653797,0.7124068284829336,-0.11125684223215544,-0.07774683027266244,-0.069895580505993,0.13148591640153204,-0.0686360920240948,-0.05524045327836692
Greece,-3.4315084842968693,-0.7357631159670703,-0.24267670945303715,0.2880677496522273,-0.21710643594844334,-0.05411080691106795,-0.7736507670048488,0.005964998472252238,0.16815187208738153,-1.0123034736936087,-0.14535901629702616,0.15961792387500173,-0.05012173087834301,-0.03553697611711461,-0.029979633748465448,0.05521409080636255,0.05639493300532286
Grenada,-1.5246083181826577,0.5865205802121202,0.5799809966511769,-0.17962874897045614,0.11646055592946046,-0.3111794788010874,-0.46128865174848677,-0.6432080411364506,0.3476951830304954,0.5444077538290506,-0.538368885556844,-0.11194902120825899,0.043888656169162724,0.024689689545958463,0.024736760952631037,0.012413525475590229,-0.0037902193609486044
Guatemala,-0.024381760846244785,-0.009984187759604905,0.3949380828078814,-1.5294755366197714,0.2711460454240596,-0.4751430634574657,0.05329929715608812,0.6733469801289159,-0.17515192781644787,-0.29752111018818733,-0.6610986461534204,0.0731343422199305,0.26101643630562993,0.136392228706644,-0.18078991209626458,0.12981285526966027,0.014945983155378288
Guinea,5.339801846889088,-1.4577991118386506,-0.8498673502528219,-0.7387486953313568,-0.446798860536535,-0.1987929501928825,0.5789398899688812,0.43640805682187517,-0.0200744671447487,-0.29749854865065317,-0.20470792985393454,0.0378278948814356,-0.009583779651495693,0.18224694284414786,0.03731025609301206,-0.0736189743031361,0.06246059055082102
Guinea-Bissau,4.120848656267705,-0.30037869495148267,0.7754624575717025,0.15504930782229848,-0.6068538584574871,-0.5631960320728433,-0.2561721180689655,0.7411217674198388,0.6245487955223304,-0.16240153382593253,-0.2537834025159241,0.04683773470857803,-0.5193086885922972,-0.141335739103895,0.10207891047782743,-0.19656061735799704,-0.05604821988033204
Guyana,-0.2637506800126496,0.704356995578991,0.8163261813576609,-0.002018134538248085,-0.062064569501681925,-0.39810184603947324,-0.024485946837670778,-0.40648777416211523,0.39537082658721195,0.34552138663456483,0.10426795329299765,-0.1776774494612845,-0.023517348076485048,0.025483694224038334,-0.004507673424378601,0.06940803278058044,-0.06640500367501449
Haiti,3.2639671804413695,-1.9529693083490234,-0.3768077258573487,-1.0044524587191006,0.24941912502645466,-0.48201011593122434,1.2518209781326919,0.019570783603577935,-0.04134963824839642,-0.061294153697983626,-0.27774769728434134,0.09995598940765274,0.046190155968669995,-0.008524277760715774,-0.10362277777564216,-0.01126288746642117,-0.09300478505221609
Honduras,-0.8672194523359864,0.9618716722172457,0.6771275632314707,-1.194126110211982,0.06327216190399901,-0.47701099159627386,-0.2867777268008552,0.475843624220885,-0.20091807565631778,-0.28282335253530294,-0.5836784931475562,-0.11986685367701569,0.13250269748282129,0.016441861137886565,-0.1155850530394643,0.10123694608003822,0.02958436270930622
Hungary,-3.266378745436817,-0.876653682273643,0.3677155120002688,1.0482995754429312,-0.12922613035261926,-1.0439437509401794,0.20061457422823792,-0.9167767290935628,0.1614198741105483,-0.7552297953897983,0.24505866745386798,-0.3787437821448434,0.2354464324447437,0.030477110537763922,0.037692949386759184,-0.055716805235308066,-0.02551751717056058
